xyz,Country,ISO3,Year,temperature
331,Mexico,MEX,2015,21.5153
332,Micronesia,FSM,2015,27.40961667
333,Moldova,MDA,2015,11.60835667
334,Monaco,MCO,2015,11.135545
335,Mongolia,MNG,2015,1.604061667
336,Montenegro,MNE,2015,10.4788275
337,Morocco,MAR,2015,18.565735
338,Mozambique,MOZ,2015,24.6759
339,Myanmar,MMR,2015,23.312275
340,Namibia,NAM,2015,21.772275
341,Nauru,NRU,2015,28.4
342,Nepal,NPL,2015,12.47316
343,Netherlands,NLD,2015,10.81503417
344,NewCaledonia,NCL,2015,22.1794
345,NewZealand,NZL,2015,10.01537667
346,Nicaragua,NIC,2015,25.63158333
347,Niger,NER,2015,27.74709167
348,Nigeria,NGA,2015,27.401575
349,Niue,NIU,2015,25.02499167
350,NorthKorea,PRK,2015,6.866218333
351,NorthernMarianaIs.,MNP,2015,27.69151667
352,Norway,NOR,2015,2.516758333
353,Oman,OMN,2015,26.54909167
354,Pakistan,PAK,2015,20.55905917
355,Palau,PLW,2015,28.2623
356,Panama,PAN,2015,26.13720833
357,PapuaNewGuinea,PNG,2015,25.38285833
358,Paraguay,PRY,2015,24.14291667
359,Peru,PER,2015,20.32996667
360,Philippines,PHL,2015,26.12058333
361,Poland,POL,2015,9.8421375
362,Portugal,PRT,2015,15.84758667
363,PuertoRico,PRI,2015,26.05656667
364,Qatar,QAT,2015,28.721
365,Reunion,REU,2015,21.41153333
366,Russia,RUS,2015,-4.168698333
367,Rwanda,RWA,2015,19.83529167
368,Samoa,WSM,2015,27.36425
369,SanMarino,SMR,2015,13.23928167
370,SaoTome&amp;Principe,STP,2015,24.090125
371,SaudiArabia,SAU,2015,26.14994167
372,Senegal,SEN,2015,28.83271667
373,Serbia,SRB,2015,12.00655333
374,Seychelles,SYC,2015,27.891625
375,SierraLeone,SLE,2015,26.63966667
376,Singapore,SGP,2015,28.137225
377,Slovakia,SVK,2015,9.545084167
378,Slovenia,SVN,2015,10.48924833
379,SolomonIs.,SLB,2015,25.60524167
380,Somalia,SOM,2015,28.063875
381,SouthAfrica,ZAF,2015,18.75056667
382,SouthKorea,KOR,2015,11.9910125
383,SouthSudan,SSD,2015,27.88578333
384,Spain,ESP,2015,14.44027167
385,SriLanka,LKA,2015,27.41980833
386,St.Kitts&amp;Nevis,KNA,2015,25.55833333
387,St.Lucia,LCA,2015,26.716625
388,St.Vincent&amp;theGrenadines,VCT,2015,27.754975
389,Sudan,SDN,2015,28.16314167
390,Suriname,SUR,2015,26.43385833
391,Swaziland,SWZ,2015,21.17166667
392,Sweden,SWE,2015,3.329636667
393,Switzerland,CHE,2015,7.7343575
394,Syria,SYR,2015,18.82981917
395,Tajikistan,TJK,2015,4.462964167
396,Tanzania,TZA,2015,23.08220833
397,Thailand,THA,2015,27.15828333
398,TheBahamas,BHS,2015,26.36124167
399,TheGambia,GMB,2015,28.12326667
400,TimorLeste,TLS,2015,25.52883333
401,Togo,TGO,2015,27.79199167
402,Tonga,TON,2015,24.79298333
403,Trinidad&amp;Tobago,TTO,2015,26.97379167
404,Tunisia,TUN,2015,20.64893333
405,Turkey,TUR,2015,11.89743917
406,Turkmenistan,TKM,2015,16.44024167
407,Turks&amp;CaicosIs.,TCA,2015,27.18328333
408,Tuvalu,TUV,2015,28.41495833
409,Uganda,UGA,2015,23.55038333
410,Ukraine,UKR,2015,10.33532583
411,UnitedArabEmirates,ARE,2015,28.22004167
412,UnitedKingdom,GBR,2015,9.087434167
413,UnitedStates,USA,2015,8.481253333
414,Uruguay,URY,2015,18.38683333
415,Uzbekistan,UZB,2015,13.82992167
416,Vanuatu,VUT,2015,23.930375
417,Venezuela,VEN,2015,26.438175
418,Vietnam,VNM,2015,25.13700833
419,VirginIs.,VIR,2015,26.45656667
420,Yemen,YEM,2015,24.537625
421,Zambia,ZMB,2015,22.68719167
422,Zimbabwe,ZWE,2015,22.327625
423,Afghanistan,AFG,2014,13.64796667
424,Albania,ALB,2014,12.70404
425,Algeria,DZA,2014,23.87725
426,AmericanSamoa,ASM,2014,27.403
427,Andorra,AND,2014,12.83193833
428,Angola,AGO,2014,21.97891667
429,Antigua&amp;Barbuda,ATG,2014,26.271775
430,Argentina,ARG,2014,14.84694083
431,Armenia,ARM,2014,8.8086375
432,Aruba,ABW,2014,28.62501667
433,Australia,AUS,2014,22.47533333
434,Austria,AUT,2014,8.275609167
435,Azerbaijan,AZE,2014,13.11162167
436,Bahrain,BHR,2014,28.246725
437,Bangladesh,BGD,2014,24.86855833
438,Barbados,BRB,2014,26.70345
439,Belarus,BLR,2014,8.03526
440,Belgium,BEL,2014,11.753965
441,Belize,BLZ,2014,25.70319167
442,Benin,BEN,2014,28.217175
443,Bermuda,BMU,2014,21.9
444,Bhutan,BTN,2014,12.27957083
445,Bolivia,BOL,2014,21.23086667
446,Bosnia&amp;Herzegovina,BIH,2014,11.42364583
447,Botswana,BWA,2014,22.20495833
448,Brazil,BRA,2014,25.81478333
449,BritishVirginIs.,VGB,2014,26.34921667
450,Brunei,BRN,2014,25.682925
451,Bulgaria,BGR,2014,12.09229667
452,BurkinaFaso,BFA,2014,28.90985
453,Burundi,BDI,2014,20.84445833
454,Cambodia,KHM,2014,27.49263333
455,Cameroon,CMR,2014,25.03619167
456,Canada,CAN,2014,-6.220375833
457,CapeVerde,CPV,2014,23.35670833
458,CaymanIs.,CYM,2014,27.79166667
459,CentralAfricanRepublic,CAF,2014,25.47385833
460,Chad,TCD,2014,27.76518333
461,Chile,CHL,2014,8.548038333
462,China,CHN,2014,7.036260833
463,CocosIs.,CCK,2014,27.20833333
464,Colombia,COL,2014,25.06426667
465,Comoros,COM,2014,25.82713333
466,Congo,COG,2014,24.91354167
467,CookIs.,COK,2014,24.41813333
468,CostaRica,CRI,2014,25.19591667
469,Coted'Ivoire,CIV,2014,26.79395
470,Croatia,HRV,2014,12.41321583
471,Cuba,CUB,2014,26.02614167
472,Cyprus,CYP,2014,20.18108333
473,CzechRepublic,CZE,2014,10.08136917
474,Denmark,DNK,2014,10.17211083
475,Djibouti,DJI,2014,28.43490833
476,Dominica,DMA,2014,24.99843333
477,DominicanRepublic,DOM,2014,24.83338333
478,Ecuador,ECU,2014,21.99975833
479,Egypt,EGY,2014,23.63091667
480,ElSalvador,SLV,2014,24.5122
481,EquatorialGuinea,GNQ,2014,24.94006667
482,Eritrea,ERI,2014,27.085425
483,Estonia,EST,2014,6.91531
484,Ethiopia,ETH,2014,23.35955833
485,FaroeIs.,FRO,2014,7.759920833
486,Fiji,FJI,2014,24.24219167
487,Finland,FIN,2014,3.405781667
488,France,FRA,2014,12.50074417
489,FrenchPolynesia,PYF,2014,24.879025
490,Gabon,GAB,2014,25.35230833
491,Georgia,GEO,2014,8.0428675
492,Germany,DEU,2014,10.63545333
493,Ghana,GHA,2014,27.84588333
494,Gibraltar,GIB,2014,17.80936667
495,Greece,GRC,2014,14.80992083
496,Greenland,GRL,2014,-16.27593333
497,Grenada,GRD,2014,27.28455
498,Guam,GUM,2014,28.00771667
499,Guatemala,GTM,2014,24.0968
